task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Masked language modeling (MLM),text tokens with masks (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),masked tokens (inferred),1D (t) (inferred),Capped (inferred)
Replaced token detection (RTD),text tokens with replacements (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),token-level replaced/real labels (inferred),1D (t) (inferred),Capped (inferred)
Auto-regressive language modeling (ARLM),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),next-token sequence (inferred),1D (t) (inferred),Capped (inferred)
Acceptability (CoLA),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Sentiment (SST),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Natural language inference (MNLI),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Natural language inference (RTE),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Paraphrase (QQP),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Paraphrase (MRPC),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
QA/NLI (QNLI),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Similarity (STS-B),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),similarity score (inferred),0D (inferred),Fixed (inferred)
MRC (SQuAD v1.1),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),answer span tokens (inferred),1D (t) (inferred),Capped (inferred)
MRC (SQuAD v2.0),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),answer span tokens (inferred),1D (t) (inferred),Capped (inferred)
MRC (ReCoRD),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),answer span tokens (inferred),1D (t) (inferred),Capped (inferred)
MRC (RACE),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),choice label (inferred),0D (inferred),Fixed (inferred)
Multiple choice (SWAG),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),choice label (inferred),0D (inferred),Fixed (inferred)
NER (CoNLL 2003),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),token-level entity labels (inferred),1D (t) (inferred),Capped (inferred)
QA (BoolQ),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
QA (COPA),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),choice label (inferred),0D (inferred),Fixed (inferred)
NLI (CB),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Multiple choice (MultiRC),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),choice label (inferred),0D (inferred),Fixed (inferred)
WSD (WiC),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Coreference (WSC),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
