ratio,year,class_id,title,class,basename,url
31,2026,1,CRoPE: Efficient Parametrization of Rotary Positional Embedding,POS-ENCDR,CRoPE- Efficient Parametrization of Rotary Positional Embedding,https://arxiv.org/pdf/2601.02728.pdf
28,2025,1,HARPE: Head-Adaptive Rotary Position Encoding,POS-ENCDR,HARPE- Head-Adaptive Rotary Position Encoding,https://aclanthology.org/2025.coling-main.326.pdf
17,2023,2,Kosmos-1: Language Is Not All You Need,XFORM-DIM,Kosmos-1- Language Is Not All You Need,https://arxiv.org/pdf/2302.14045.pdf
14,2025,1,Extending the Context of Pretrained LLMs by Dropping Their Positional Embeddings,POS-ENCDR,Extending the Context of Pretrained LLMs by Dropping Their Positional Embeddings,https://arxiv.org/pdf/2512.12167.pdf
11,2023,2,MiniGPT-4,XFORM-DIM,MiniGPT-4,https://arxiv.org/pdf/2304.10592.pdf
10,2024,1,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,POS-ENCDR,Mesa-Extrapolation- A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,https://arxiv.org/pdf/2410.15859.pdf
8,2025,1,VRoPE: Rotary Position Embedding for Video Large Language Models,POS-ENCDR,VRoPE- Rotary Position Embedding for Video Large Language Models,https://arxiv.org/pdf/2502.11664.pdf
7,2023,1,YaRN: Efficient Context Window Extension of Large Language Models,POS-ENCDR,YaRN- Efficient Context Window Extension of Large Language Models,https://arxiv.org/pdf/2309.00071.pdf
5.5,2025,1,Wavelet-based Positional Representation for Long Context,POS-ENCDR,Wavelet-based Positional Representation for Long Context,https://openreview.net/pdf?id=OhauMUNW8T
4,2023,1,Extending Context Window of Large Language Models via Positional Interpolation (PI),POS-ENCDR,Extending Context Window of Large Language Models via Positional Interpolation (PI),https://arxiv.org/pdf/2306.15595.pdf
4,2024,1,HiRoPE: Length Extrapolation for Code Models Using Hierarchical Rotary Position Embedding,POS-ENCDR,HiRoPE- Length Extrapolation for Code Models Using Hierarchical Rotary Position Embedding,https://aclanthology.org/2024.acl-long.735.pdf
3,2018,2,Image Transformer,XFORM-DIM,Image Transformer,https://arxiv.org/pdf/1802.05751.pdf
3,2019,2,VisualBERT: A Simple and Performant Baseline for Vision and Language,XFORM-DIM,VisualBERT- A Simple and Performant Baseline for Vision and Language,https://arxiv.org/pdf/1908.03557.pdf
3,2021,1,Rethinking and Improving Relative Position Encoding for Vision Transformer (iRPE),POS-ENCDR,Rethinking and Improving Relative Position Encoding for Vision Transformer (iRPE),https://arxiv.org/pdf/2107.14222.pdf
3,2021,1,"Train Short, Test Long: Attention with Linear Biases (ALiBi)",POS-ENCDR,"Train Short, Test Long- Attention with Linear Biases (ALiBi)",https://arxiv.org/pdf/2108.12409.pdf
3,2021,2,Multiscale Vision Transformers (MViT),XFORM-DIM,Multiscale Vision Transformers (MViT),https://arxiv.org/pdf/2104.11227.pdf
3,2021,2,Point-BERT: Pre-training 3D Point Cloud Transformers with Masked Point Modeling,XFORM-DIM,Point-BERT- Pre-training 3D Point Cloud Transformers with Masked Point Modeling,https://arxiv.org/pdf/2111.14819.pdf
3,2021,2,Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction without Convolutions,XFORM-DIM,Pyramid Vision Transformer- A Versatile Backbone for Dense Prediction without Convolutions,https://arxiv.org/pdf/2102.12122.pdf
3,2021,2,Voxel Transformer for 3D Object Detection (VoTr),XFORM-DIM,Voxel Transformer for 3D Object Detection (VoTr),https://arxiv.org/pdf/2109.02497.pdf
3,2022,1,A Length-Extrapolatable Transformer,POS-ENCDR,A Length-Extrapolatable Transformer,https://arxiv.org/pdf/2212.10554.pdf
3,2022,2,BEVFormer: Learning Bird's-Eye-View Representation from Multi-Camera Images via Spatiotemporal Transformers,XFORM-DIM,BEVFormer- Learning Bird's-Eye-View Representation from Multi-Camera Images via Spatiotemporal Transformers,https://arxiv.org/pdf/2203.17270.pdf
3,2022,2,Flamingo: a Visual Language Model for Few-Shot Learning,XFORM-DIM,Flamingo- a Visual Language Model for Few-Shot Learning,https://arxiv.org/pdf/2204.14198.pdf
3,2022,2,Masked Autoencoders for Point Cloud Self-supervised Learning (Point-MAE),XFORM-DIM,Masked Autoencoders for Point Cloud Self-supervised Learning (Point-MAE),https://arxiv.org/pdf/2203.06604.pdf
3,2022,2,Scalable Diffusion Models with Transformers (DiT),XFORM-DIM,Scalable Diffusion Models with Transformers (DiT),https://arxiv.org/pdf/2212.09748.pdf
3,2022,2,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,XFORM-DIM,TransFusion- Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,https://openaccess.thecvf.com/content/CVPR2022/papers/Bai_TransFusion_Robust_LiDAR-Camera_Fusion_for_3D_Object_Detection_With_Transformers_CVPR_2022_paper.pdf
3,2023,2,Mask4Former: Mask Transformer for 4D Panoptic Segmentation,XFORM-DIM,Mask4Former- Mask Transformer for 4D Panoptic Segmentation,https://arxiv.org/pdf/2309.16133.pdf
3,2024,1,Base of RoPE Bounds Context Length,POS-ENCDR,Base of RoPE Bounds Context Length,https://arxiv.org/pdf/2405.14591.pdf
3,2024,1,DAPE: Data-Adaptive Positional Encoding for Length Extrapolation,POS-ENCDR,DAPE- Data-Adaptive Positional Encoding for Length Extrapolation,https://proceedings.neurips.cc/paper_files/paper/2024/file/2f050fa9f0d898e3f265d515f50ae8f9-Paper-Conference.pdf
3,2024,1,LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens,POS-ENCDR,LongRoPE- Extending LLM Context Window Beyond 2 Million Tokens,https://arxiv.org/pdf/2402.13753.pdf
3,2024,1,Resonance RoPE: Improving Context Length Generalization of Large Language Models,POS-ENCDR,Resonance RoPE- Improving Context Length Generalization of Large Language Models,https://arxiv.org/pdf/2403.00071.pdf
3,2024,1,RoTHP: Rotary Position Embedding-based Transformer Hawkes Process,POS-ENCDR,RoTHP- Rotary Position Embedding-based Transformer Hawkes Process,https://arxiv.org/pdf/2405.06985.pdf
3,2024,1,Transformers Can Do Arithmetic with the Right Embeddings,POS-ENCDR,Transformers Can Do Arithmetic with the Right Embeddings,https://proceedings.neurips.cc/paper_files/paper/2024/file/c35986bc1ee29b31c1011481b77fe540-Paper-Conference.pdf
3,2025,1,Circle-RoPE: Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models,POS-ENCDR,Circle-RoPE- Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models,https://arxiv.org/pdf/2505.16416.pdf
3,2025,1,Context-aware Biases for Length Extrapolation (CABLE),POS-ENCDR,Context-aware Biases for Length Extrapolation (CABLE),https://aclanthology.org/2025.emnlp-main.1545.pdf
3,2025,1,DoPE: Denoising Rotary Position Embedding,POS-ENCDR,DoPE- Denoising Rotary Position Embedding,https://arxiv.org/pdf/2511.09146.pdf
3,2025,1,Maximizing the Position Embedding for Vision Transformers (MPVG),POS-ENCDR,Maximizing the Position Embedding for Vision Transformers (MPVG),https://arxiv.org/pdf/2502.02919.pdf
3,2025,1,Positional Encoding Field,POS-ENCDR,Positional Encoding Field,https://arxiv.org/pdf/2510.20385v1.pdf
3,2025,1,TAPA: Positional Encoding via Token-Aware Phase Attention,POS-ENCDR,TAPA- Positional Encoding via Token-Aware Phase Attention,https://arxiv.org/pdf/2509.12635.pdf
3,2025,2,EchoMotion: Unified Human Video and Motion Generation via Dual-Modality Diffusion Transformer,XFORM-DIM,EchoMotion- Unified Human Video and Motion Generation via Dual-Modality Diffusion Transformer,https://arxiv.org/pdf/2512.18814.pdf
3,2025,2,Graph Perceiver IO,XFORM-DIM,Graph Perceiver IO,https://www.sciencedirect.com/science/article/abs/pii/S0031320325005497
3,2025,2,LLaVA-4D: Embedding Spatiotemporal Prompt into LMMs,XFORM-DIM,LLaVA-4D- Embedding Spatiotemporal Prompt into LMMs,https://arxiv.org/pdf/2505.12253.pdf
3,2025,2,PanSt3R: Multi-view Consistent Panoptic Segmentation,XFORM-DIM,PanSt3R- Multi-view Consistent Panoptic Segmentation,https://openaccess.thecvf.com/content/ICCV2025/papers/Zust_PanSt3R_Multi-view_Consistent_Panoptic_Segmentation_ICCV_2025_paper.pdf
3,2025,2,Point mask transformer for outdoor point cloud semantic segmentation (PMFormer),XFORM-DIM,Point mask transformer for outdoor point cloud semantic segmentation (PMFormer),https://www.sciopen.com/article_pdf/1942505668075868162.pdf
2.5,2025,2,DynamicCity: Large-Scale 4D Occupancy Generation from Dynamic Scenes,XFORM-DIM,DynamicCity- Large-Scale 4D Occupancy Generation from Dynamic Scenes,https://arxiv.org/pdf/2410.18084.pdf
2.4,2025,1,"Decoupling the ""What"" and ""Where"" With Polar Coordinate Positional Embeddings (PoPE)",POS-ENCDR,Decoupling the -What- and -Where- With Polar Coordinate Positional Embeddings (PoPE),https://arxiv.org/pdf/2509.10534.pdf
2,2020,1,Rethinking Positional Encoding in Language Pre-training (TUPE),POS-ENCDR,Rethinking Positional Encoding in Language Pre-training (TUPE),https://arxiv.org/pdf/2006.15595.pdf
2,2020,1,Shortformer: Better Language Modeling using Shorter Inputs,POS-ENCDR,Shortformer- Better Language Modeling using Shorter Inputs,https://arxiv.org/pdf/2012.15832.pdf
2,2020,2,Generative Pretraining from Pixels (iGPT),XFORM-DIM,Generative Pretraining from Pixels (iGPT),https://cdn.openai.com/papers/Generative_Pretraining_from_Pixels_V2.pdf
2,2020,2,PCT: Point Cloud Transformer,XFORM-DIM,PCT- Point Cloud Transformer,https://arxiv.org/pdf/2012.09688.pdf
2,2020,2,SE(3)-Transformers: 3D Roto-Translation Equivariant Attention Networks,XFORM-DIM,SE(3)-Transformers- 3D Roto-Translation Equivariant Attention Networks,https://proceedings.neurips.cc/paper/2020/hash/15231a7ce4ba789d13b722cc5c955834-Paper.pdf
2,2020,2,Stand-Alone Axial-Attention for Panoptic Segmentation (Axial-DeepLab),XFORM-DIM,Stand-Alone Axial-Attention for Panoptic Segmentation (Axial-DeepLab),https://www.cs.jhu.edu/~alanlab/Pubs20/wang2020axial.pdf
2,2021,2,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer),XFORM-DIM,Point 4D Transformer Networks for Spatio-Temporal Modeling in Point Cloud Videos (P4Transformer),https://openaccess.thecvf.com/content/CVPR2021/papers/Fan_Point_4D_Transformer_Networks_for_Spatio-Temporal_Modeling_in_Point_Cloud_CVPR_2021_paper.pdf
2,2021,2,Transformer in Transformer,XFORM-DIM,Transformer in Transformer,https://arxiv.org/pdf/2103.00112.pdf
2,2022,2,Point Primitive Transformer for Long-Term 4D Point Cloud Video Understanding (PPTr),XFORM-DIM,Point Primitive Transformer for Long-Term 4D Point Cloud Video Understanding (PPTr),https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136890018.pdf
2,2022,2,ViewFormer: NeRF-free Neural Rendering from Few Images Using Transformers,XFORM-DIM,ViewFormer- NeRF-free Neural Rendering from Few Images Using Transformers,https://arxiv.org/pdf/2203.10157.pdf
2,2023,2,PaLM-E: An Embodied Multimodal Language Model,XFORM-DIM,PaLM-E- An Embodied Multimodal Language Model,https://arxiv.org/pdf/2303.03378.pdf
2,2023,2,Uni3DL: Unified Model for 3D and Language Understanding,XFORM-DIM,Uni3DL- Unified Model for 3D and Language Understanding,https://arxiv.org/pdf/2312.03026.pdf
2,2023,2,VoxFormer: Sparse Voxel Transformer for Camera-based 3D Semantic Scene Completion,XFORM-DIM,VoxFormer- Sparse Voxel Transformer for Camera-based 3D Semantic Scene Completion,https://arxiv.org/pdf/2302.12251.pdf
2,2024,1,LookHere: Vision Transformers with Directed Attention Generalize and Extrapolate,POS-ENCDR,LookHere- Vision Transformers with Directed Attention Generalize and Extrapolate,https://arxiv.org/pdf/2405.13985.pdf
