year,title,class,filename,url
1986,Learning Representations by Back-Propagating Errors,ML-FNDTNS,Learning Representations by Back-Propagating Errors.pdf,https://www.nature.com/articles/323533a0.pdf
1988,Learning to Predict by the Methods of Temporal Differences,ML-FNDTNS,Learning to Predict by the Methods of Temporal Differences.pdf,https://incompleteideas.net/papers/sutton-88-with-erratum.pdf
1990,Cellular and circuit basis of working memory in prefrontal cortex of nonhuman primates (GoldmanRakic90),X-CONTEXT,Cellular and circuit basis of working memory in prefrontal cortex of nonhuman primates (GoldmanRakic90).pdf,https://www.sciencedirect.com/science/article/pii/S0079612308626886/pdf?md5=21ef5a5f718b876e350f35788a65d986&pid=1-s2.0-S0079612308626886-main.pdf
1990,Unified Theories of Cognition,X-CONTEXT,Unified Theories of Cognition.pdf,https://www.hup.harvard.edu/books/9780674921016
1991,"Dyna, an Integrated Architecture for Learning, Planning, and Reacting",COMP-REAS,"Dyna, an Integrated Architecture for Learning, Planning, and Reacting.pdf",https://sci-hub.ru/10.1145/122344.122377
1992,A prototype for data-driven visual attention,COMP-REAS,A prototype for data-driven visual attention.pdf,https://www.sci-hub.ru/10.1109/icpr.1992.201502
1992,Separate visual pathways for perception and action (GoodaleMilner92),X-CONTEXT,Separate visual pathways for perception and action (GoodaleMilner92).pdf,https://cnbc.cmu.edu/braingroup/papers/goodale_milner_1992.pdf
1992,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE),ML-FNDTNS,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE).pdf,https://link.springer.com/content/pdf/10.1007/BF00992696.pdf
1992,"TD-Gammon, a Self-Teaching Backgammon Program, Achieves Master-Level Play",ML-FNDTNS,"TD-Gammon, a Self-Teaching Backgammon Program, Achieves Master-Level Play.pdf",https://cdn.aaai.org/Symposia/Fall/1993/FS-93-02/FS93-02-003.pdf
1992,Technical Note: Q-learning,ML-FNDTNS,Technical Note- Q-learning.pdf,https://link.springer.com/content/pdf/10.1023/A%3A1022676722315.pdf
1993,Keeping Neural Networks Simple by Minimizing the Description Length of the Weights,ML-FNDTNS,Keeping Neural Networks Simple by Minimizing the Description Length of the Weights.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/6_Keeping_Neural_Networks_Simple_by_Minimizing_the_Description_Length_of_the_Weights.pdf
1994,On-line Q-learning Using Connectionist Systems,ML-FNDTNS,On-line Q-learning Using Connectionist Systems.pdf,https://www.researchgate.net/profile/Mahesan-Niranjan/publication/2500611_On-Line_Q-Learning_Using_Connectionist_Systems/links/5438d5db0cf204cab1d6db0f/On-Line-Q-Learning-Using-Connectionist-Systems.pdf
1995,Cellular basis of working memory (GoldmanRakic95),X-CONTEXT,Cellular basis of working memory (GoldmanRakic95).pdf,https://www.sciencedirect.com/science/article/pii/0896627395903046/pdf?_valck=1&md5=ed5ba32082b957d1d233d356c4203fcb&pid=1-s2.0-0896627395903046-main.pdf
1995,Support-Vector Networks,ML-FNDTNS,Support-Vector Networks.pdf,https://link.springer.com/content/pdf/10.1007/BF00994018.pdf
1996,A recurrent neural architecture mimicking cortical preattentive vision systems,ML-FNDTNS,A recurrent neural architecture mimicking cortical preattentive vision systems.pdf,https://www.sci-hub.ru/10.1016/0925-2312(94)00067-0
1997,Long Short-Term Memory (LSTM),COMP-REAS,Long Short-Term Memory (LSTM).pdf,https://www.bioinf.jku.at/publications/older/2604.pdf
1998,"Feedforward, horizontal, and feedback processing in the visual cortex",X-CONTEXT,"Feedforward, horizontal, and feedback processing in the visual cortex.pdf",https://www.sci-hub.ru/10.1016/s0959-4388(98)80042-1
1999,A Framework for Temporal Abstraction in Reinforcement Learning,COMP-REAS,A Framework for Temporal Abstraction in Reinforcement Learning.pdf,https://www.sciencedirect.com/science/article/pii/S0004370299000521/pdf
1999,Actor-Critic Algorithms,ML-FNDTNS,Actor-Critic Algorithms.pdf,https://papers.nips.cc/paper/1786-actor-critic-algorithms.pdf
1999,Predictive coding in the visual cortex,X-CONTEXT,Predictive coding in the visual cortex.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4311762/
1999,Predictive coding in the visual cortex: a functional interpretation of some extra-classical receptive-field effects,X-CONTEXT,Predictive coding in the visual cortex- a functional interpretation of some extra-classical receptive-field effects.pdf,https://homes.cs.washington.edu/~rao/Rao-Ballard-NN-1999.pdf
2000,Policy Gradient Methods for Reinforcement Learning with Function Approximation,ML-FNDTNS,Policy Gradient Methods for Reinforcement Learning with Function Approximation.pdf,https://papers.nips.cc/paper/1713-policy-gradient-methods-for-reinforcement-learning-with-function-approximation.pdf
2000,The distinct modes of vision offered by feedforward and recurrent processing,X-CONTEXT,The distinct modes of vision offered by feedforward and recurrent processing.pdf,https://www.sci-hub.ru/10.1016/s0166-2236(00)01657-x
2001,A Natural Policy Gradient,ML-FNDTNS,A Natural Policy Gradient.pdf,https://papers.neurips.cc/paper/2073-a-natural-policy-gradient.pdf
2001,An integrative theory of prefrontal cortex function,X-CONTEXT,An integrative theory of prefrontal cortex function.pdf,https://web.math.princeton.edu/~sswang/literature_general_unsorted/miller_cohen01_annu_rev_neurosci_prefrontal-theory.pdf
2001,"Using a recurrent network to bind form, color and position into a unified percept",COMP-REAS,"Using a recurrent network to bind form, color and position into a unified percept.pdf",https://www.sci-hub.ru/10.1016/s0925-2312(01)00395-2
2002,Approximately Optimal Approximate Reinforcement Learning,ML-FNDTNS,Approximately Optimal Approximate Reinforcement Learning.pdf,https://people.eecs.berkeley.edu/~pabbeel/cs287-fa09/readings/KakadeLangford-icml2002.pdf
2002,Optimal feedback control as a theory of motor coordination,X-CONTEXT,Optimal feedback control as a theory of motor coordination.pdf,https://roboti.us/lab/papers/TodorovNatNeurosci02.pdf
2003,A Neural Probabilistic Language Model,ML-FNDTNS,A Neural Probabilistic Language Model.pdf,https://www.jmlr.org/papers/volume3/bengio03a/bengio03a.pdf
2003,Least-Squares Policy Iteration (LSPI),ML-FNDTNS,Least-Squares Policy Iteration (LSPI).pdf,https://www.jmlr.org/papers/v4/lagoudakis03a.html
2004,A Tutorial Introduction to the Minimum Description Length Principle,ML-FNDTNS,A Tutorial Introduction to the Minimum Description Length Principle.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/5_A_Tutorial_Introduction_to_the_Minimum_Description_Length_Principle.pdf
2004,Optimality principles in sensorimotor control (Todorov04),X-CONTEXT,Optimality principles in sensorimotor control (Todorov04).pdf,https://roboti.us/lab/papers/TodorovNatNeurosci04.pdf
2005,Dynamic dopamine modulation in the basal ganglia: a neurocomputational account of cognitive deficits in medicated and nonmedicated Parkinsonism (Frank05),X-CONTEXT,Dynamic dopamine modulation in the basal ganglia- a neurocomputational account of cognitive deficits in medicated and nonmedicated Parkinsonism (Frank05).pdf,https://ski.clps.brown.edu/papers/Frank_JOCN.pdf
2005,Microstructure of a spatial map in the entorhinal cortex,X-CONTEXT,Microstructure of a spatial map in the entorhinal cortex.pdf,https://www.nature.com/articles/nature03721.pdf
2005,Neural Fitted Q Iteration (NFQ),ML-FNDTNS,Neural Fitted Q Iteration (NFQ).pdf,https://link.springer.com/content/pdf/10.1007/11564096_32.pdf
2005,Tree-Based Batch Mode Reinforcement Learning,ML-FNDTNS,Tree-Based Batch Mode Reinforcement Learning.pdf,https://www.jmlr.org/papers/volume6/ernst05a/ernst05a.pdf
2006,A Fast Learning Algorithm for Deep Belief Nets,ML-FNDTNS,A Fast Learning Algorithm for Deep Belief Nets.pdf,https://www.cs.toronto.edu/~fritz/absps/ncfast.pdf
2006,A free energy principle for the brain (FEP),X-CONTEXT,A free energy principle for the brain (FEP).pdf,https://www.fil.ion.ucl.ac.uk/~karl/A%20free%20energy%20principle%20for%20the%20brain.pdf
2006,Making Working Memory Work: A Computational Model of Learning in the Prefrontal Cortex and Basal Ganglia (OReillyFrank06),X-CONTEXT,Making Working Memory Work- A Computational Model of Learning in the Prefrontal Cortex and Basal Ganglia (OReillyFrank06).pdf,https://ccnlab.org/papers/OReillyFrank06.pdf
2007,Core Knowledge,X-CONTEXT,Core Knowledge.pdf,https://www.harvardlds.org/wp-content/uploads/2017/01/SpelkeKinzler07-1.pdf
2007,The Hidden Logic of Sudoku (Second Edition),MIS-CLASS,The Hidden Logic of Sudoku (Second Edition).pdf,https://raw.githubusercontent.com/denis-berthier/CSP-Rules-V2.1/master/Publications/2007-HLS2.pdf
2007,Toward an executive without a homunculus: computational models of the prefrontal cortex/basal ganglia system,X-CONTEXT,Toward an executive without a homunculus- computational models of the prefrontal cortex-basal ganglia system.pdf,https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2007.2055
2008,Machine Super Intelligence,DATA-BNCH,Machine Super Intelligence.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/2_Machine_Super_Intelligence.pdf
2008,Natural Actor-Critic,ML-FNDTNS,Natural Actor-Critic.pdf,https://www.sciencedirect.com/science/article/pii/S0925231208000532/pdf
2009,ImageNet: A Large-Scale Hierarchical Image Database,DATA-BNCH,ImageNet- A Large-Scale Hierarchical Image Database.pdf,https://www.image-net.org/static_files/papers/imagenet_cvpr09.pdf
2010,Component-based Synthesis Applied to Bitvector Programs,X-CONTEXT,Component-based Synthesis Applied to Bitvector Programs.pdf,https://www.microsoft.com/en-us/research/wp-content/uploads/2010/02/bv.pdf
2010,Relative Entropy Policy Search (REPS),ML-FNDTNS,Relative Entropy Policy Search (REPS).pdf,https://ojs.aaai.org/index.php/AAAI/article/view/7727/7588
2010,The free-energy principle: a unified brain theory?,X-CONTEXT,The free-energy principle- a unified brain theory-.pdf,https://www.uab.edu/medicine/cinl/images/KFriston_FreeEnergy_BrainTheory.pdf
2011,Automating String Processing in Spreadsheets Using Input-Output Examples (FlashFill),ML-FNDTNS,Automating String Processing in Spreadsheets Using Input-Output Examples (FlashFill).pdf,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/12/popl11-synthesis.pdf
2011,Synthesis From Examples: Interaction Models and Algorithms,ML-FNDTNS,Synthesis From Examples- Interaction Models and Algorithms.pdf,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/12/synasc12.pdf
2011,The First Law of Complexodynamics,X-CONTEXT,The First Law of Complexodynamics.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/1_The_First_Law_of_Complexodynamics.pdf
2012,Canonical microcircuits for predictive coding (Bastos12),X-CONTEXT,Canonical microcircuits for predictive coding (Bastos12).pdf,https://www.fil.ion.ucl.ac.uk/~karl/Canonical%20Microcircuits%20for%20Predictive%20Coding.pdf
2012,ImageNet Classification with Deep Convolutional Neural Networks (AlexNet),ML-FNDTNS,ImageNet Classification with Deep Convolutional Neural Networks (AlexNet).pdf,https://proceedings.neurips.cc/paper_files/paper/2012/file/c399862d3b9d6b76c8436e924a68c45b-Paper.pdf
2012,Learning Semantic String Transformations from Examples,ML-FNDTNS,Learning Semantic String Transformations from Examples.pdf,https://vldb.org/pvldb/vol5/p740_rishabhsingh_vldb2012.pdf
2012,"Working Memory: Theories, Models, and Controversies",X-CONTEXT,"Working Memory- Theories, Models, and Controversies.pdf",https://sci-hub.ru/10.1146/annurev-psych-120710-100422
2013,Auto-Encoding Variational Bayes (VAE),ML-FNDTNS,Auto-Encoding Variational Bayes (VAE).pdf,https://arxiv.org/pdf/1312.6114.pdf
2013,Distributed Representations of Words and Phrases and their Compositionality,ML-FNDTNS,Distributed Representations of Words and Phrases and their Compositionality.pdf,https://arxiv.org/pdf/1310.4546.pdf
2013,ICFP Programming Competition,DATA-BNCH,ICFP Programming Competition.pdf,https://dspace.mit.edu/bitstream/handle/1721.1/137904/1611.07627.pdf?isAllowed=y&sequence=2
2013,Syntax-Guided Synthesis (SyGuS),DATA-BNCH,Syntax-Guided Synthesis (SyGuS).pdf,https://www.cis.upenn.edu/~alur/SyGuS13.pdf
2014,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,ML-FNDTNS,Dropout- A Simple Way to Prevent Neural Networks from Overfitting.pdf,https://www.jmlr.org/papers/volume15/srivastava14a/srivastava14a.pdf
2014,Generative Adversarial Nets (GANs),ML-FNDTNS,Generative Adversarial Nets (GANs).pdf,https://arxiv.org/pdf/1406.2661.pdf
2014,Hierarchy of Intrinsic Timescales in Cortex,X-CONTEXT,Hierarchy of Intrinsic Timescales in Cortex.pdf,https://www.cns.nyu.edu/wanglab/publications/pdf/murray.nn2014.pdf
2014,Neural Machine Translation by Jointly Learning to Align and Translate,COMP-REAS,Neural Machine Translation by Jointly Learning to Align and Translate.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/17_Neural_Machine_Translation_by_Jointly_Learning_to_Align_and_Translate.pdf
2014,Quantifying the Rise and Fall of Complexity in Closed Systems: The Coffee Automaton,X-CONTEXT,Quantifying the Rise and Fall of Complexity in Closed Systems- The Coffee Automaton.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/3_Quantifying_the_Rise_and_Fall_of_Complexity_in_Closed_Systems_The_Coffee_Automaton.pdf
2014,Recurrent Neural Network Regularization,ML-FNDTNS,Recurrent Neural Network Regularization.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/15_Recurrent_Neural_Network_Regularization.pdf
2015,Deep Residual Learning for Image Recognition,ML-FNDTNS,Deep Residual Learning for Image Recognition.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/10_Deep_Residual_Learning_for_Image_Recognition.pdf
2015,Deep Speech 2: End-to-End Speech Recognition in English and Mandarin,ML-FNDTNS,Deep Speech 2- End-to-End Speech Recognition in English and Mandarin.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/16_Deep_Speech_2_End_to_End_Speech_Recognition_in_English_and_Mandarin.pdf
2015,End-To-End Memory Networks (MemN2N),COMP-REAS,End-To-End Memory Networks (MemN2N).pdf,https://arxiv.org/pdf/1503.08895.pdf
2015,"General Program Synthesis Benchmark Suite (PSB / ""PSB1"")",DATA-BNCH,General Program Synthesis Benchmark Suite (PSB - -PSB1-).pdf,https://www.cs.hamilton.edu/~thelmuth/Pubs/2015-GECCO-benchmark-suite.pdf
2015,Human-level Control through Deep Reinforcement Learning (DQN),ML-FNDTNS,Human-level Control through Deep Reinforcement Learning (DQN).pdf,https://web.stanford.edu/class/psych209/Readings/MnihEtAlHassibis15NatureControlDeepRL.pdf
2015,Learning to Transduce with Unbounded Memory,COMP-REAS,Learning to Transduce with Unbounded Memory.pdf,https://arxiv.org/pdf/1506.02516.pdf
2015,Multi-Scale Context Aggregation by Dilated Convolutions,ML-FNDTNS,Multi-Scale Context Aggregation by Dilated Convolutions.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/12_Multi_Scale_Context_Aggregation_by_Dilated_Convolutions.pdf
2015,Neural Programmer-Interpreters (NPI),COMP-REAS,Neural Programmer-Interpreters (NPI).pdf,https://arxiv.org/pdf/1511.06279.pdf
2015,Order Matters: Sequence to sequence for sets,ML-FNDTNS,Order Matters- Sequence to sequence for sets.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/19_Order_Matters_Sequence_to_Sequence_for_Sets.pdf
2015,Pointer Networks,COMP-REAS,Pointer Networks.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/18_Pointer_Networks.pdf
2015,SyGuS-Comp'15 Results/Analysis,DATA-BNCH,SyGuS-Comp'15 Results-Analysis.pdf,https://rishabhmit.bitbucket.io/papers/synt15.pdf
2015,The Unreasonable Effectiveness of Recurrent Neural Networks,MIS-CLASS,The Unreasonable Effectiveness of Recurrent Neural Networks.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/13_The_Unreasonable_Effectiveness_of_Recurrent_Neural_Networks.pdf
2015,Understanding LSTM Networks,MIS-CLASS,Understanding LSTM Networks.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/14_Understanding_LSTM_Networks.pdf
2016,BlinkFill: Semi-supervised Programming By Example for Syntactic String Transformations,ML-FNDTNS,BlinkFill- Semi-supervised Programming By Example for Syntactic String Transformations.pdf,https://www.vldb.org/pvldb/vol9/p816-singh.pdf
2016,Hybrid computing using a neural network with dynamic external memory,COMP-REAS,Hybrid computing using a neural network with dynamic external memory.pdf,https://www.nature.com/articles/nature20101.pdf
2016,Hybrid computing using a neural network with dynamic external memory (DNC),COMP-REAS,Hybrid computing using a neural network with dynamic external memory (DNC).pdf,https://web.stanford.edu/class/psych209/Readings/GravesWayne16DNC.pdf
2016,Identity Mappings in Deep Residual Networks,ML-FNDTNS,Identity Mappings in Deep Residual Networks.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/11_Identity_Mappings_in_Deep_Residual_Networks.pdf
2016,Mastering the Game of Go with Deep Neural Networks and Tree Search (AlphaGo),MIS-CLASS,Mastering the Game of Go with Deep Neural Networks and Tree Search (AlphaGo).pdf,https://sci-hub.ru/10.1038/nature16961
2016,Neural Module Networks (NMN),COMP-REAS,Neural Module Networks (NMN).pdf,https://openaccess.thecvf.com/content_cvpr_2016/papers/Andreas_Neural_Module_Networks_CVPR_2016_paper.pdf
2016,Stanford CS231n - Convolutional Neural Networks for Visual Recognition,MIS-CLASS,Stanford CS231n - Convolutional Neural Networks for Visual Recognition.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/8_Stanford_CS231n_Convolutional_Neural_Networks_for_Visual_Recognition.pdf
2016,SyGuS-Comp 2016: Results and Analysis,DATA-BNCH,SyGuS-Comp 2016- Results and Analysis.pdf,https://dspace.mit.edu/bitstream/handle/1721.1/137904/1611.07627.pdf?isAllowed=y&sequence=2.pdf
2016,Variational Lossy Autoencoder,ML-FNDTNS,Variational Lossy Autoencoder.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/7_Variational_Lossy_Autoencoder.pdf
2017,A simple neural network module for relational reasoning,COMP-REAS,A simple neural network module for relational reasoning.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/22_A_simple_neural_network_module_for_relational_reasoning.pdf
2017,CLEVR: A Diagnostic Dataset for Compositional Language and Elementary Visual Reasoning,DATA-BNCH,CLEVR- A Diagnostic Dataset for Compositional Language and Elementary Visual Reasoning.pdf,https://openaccess.thecvf.com/content_cvpr_2017/papers/Johnson_CLEVR_A_Diagnostic_CVPR_2017_paper.pdf
2017,Kolmogorov Complexity and Algorithmic Randomness,X-CONTEXT,Kolmogorov Complexity and Algorithmic Randomness.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/4_Kolmogorov_Complexity_and_Algorithmic_Randomness.pdf
2017,Lie-Access Neural Turing Machines (LANTM),COMP-REAS,Lie-Access Neural Turing Machines (LANTM).pdf,https://openreview.net/pdf?id=Byiy-Pqlx
2017,Neural Message Passing for Quantum Chemistry,ML-FNDTNS,Neural Message Passing for Quantum Chemistry.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/23_Neural_Message_Passing_for_Quantum_Chemistry.pdf
2017,Neural Program Meta-Induction,ML-FNDTNS,Neural Program Meta-Induction.pdf,https://arxiv.org/pdf/1710.04157.pdf
2018,Accelerating Search-Based Program Synthesis using Learned Probabilistic Models (Euphony),ML-FNDTNS,Accelerating Search-Based Program Synthesis using Learned Probabilistic Models (Euphony).pdf,https://www.cis.upenn.edu/~alur/PLDI18.pdf
2018,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,ML-FNDTNS,BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding.pdf,https://arxiv.org/pdf/1810.04805.pdf
2018,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,ML-FNDTNS,GPipe- Efficient Training of Giant Neural Networks using Pipeline Parallelism.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/25_GPipe_Easy_Scaling_with_Micro_Batch_Pipeline_Parallelism.pdf
2018,Improving Language Understanding by Generative Pre-Training,ML-FNDTNS,Improving Language Understanding by Generative Pre-Training.pdf,https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf
2018,Learning Explanatory Rules from Noisy Data / Differentiable ILP (dILP),ML-FNDTNS,Learning Explanatory Rules from Noisy Data - Differentiable ILP (dILP).pdf,https://jair.org/index.php/jair/article/view/11172/26376
2018,Relational recurrent neural networks,COMP-REAS,Relational recurrent neural networks.pdf,/home/jake/Developer/timeline/BIBLIOTHEQUE/24_Relational_recurrent_neural_networks.pdf
2018,Search-based Program Synthesis,X-CONTEXT,Search-based Program Synthesis.pdf,https://www.cis.upenn.edu/~alur/CACM18.pdf
2018,Set Transformer: A Framework for Attention-based Permutation-Invariant Neural Networks,ML-FNDTNS,Set Transformer- A Framework for Attention-based Permutation-Invariant Neural Networks.pdf,https://arxiv.org/pdf/1810.00825.pdf
2018,"The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks (LTH)",ML-FNDTNS,"The Lottery Ticket Hypothesis- Finding Sparse, Trainable Neural Networks (LTH).pdf",https://arxiv.org/pdf/1803.03635.pdf
2018,Universal Transformers (UT),COMP-REAS,Universal Transformers (UT).pdf,https://arxiv.org/pdf/1807.03819.pdf
2019,A Framework for Intelligence and Cortical Function Based on Grid Cells in the Neocortex,X-CONTEXT,A Framework for Intelligence and Cortical Function Based on Grid Cells in the Neocortex.pdf,https://www.frontiersin.org/journals/neural-circuits/articles/10.3389/fncir.2018.00121/pdf
2019,AI Feynman: a Physics-Inspired Method for Symbolic Regression,ML-FNDTNS,AI Feynman- a Physics-Inspired Method for Symbolic Regression.pdf,https://arxiv.org/pdf/1905.11481.pdf
