task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Masked language modeling,tokens (inferred),1D (t) (inferred),Not specified in the paper.,Static (inferred),Direct (inferred),tokens (masked positions) (inferred),1D (t) (inferred),Not specified in the paper.
Sentence-order prediction,tokens (inferred),1D (t) (inferred),Not specified in the paper.,Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (SST-2) (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (MRPC) (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (QNLI) (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (QQP) (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (MNLI) (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (IMDB reviews) (inferred),text tokens (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (Listops) (inferred),sequence (Listops) (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (byte-level IMDb reviews text classification),byte-level text (IMDb reviews),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Retrieval (byte-level document retrieval),byte-level documents (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (image classification on sequences of pixels),sequences of pixels,1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
Classification (Pathfinder) (inferred),sequence (Pathfinder) (inferred),1D (t) (inferred),Capped (inferred),Static (inferred),Direct (inferred),label (inferred),0D (inferred),Fixed (inferred)
