BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	85	Figure 3 clearly shows that the average solution rate of a multi-agent is always higher than the one achieved by the best single agent (up to 8 moves for the $5\times5\times5$ cube). Solid lines on Figures 3a, 3b, 3c ...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	87	If it is seen from Figures 3c,3d,3e that the worst agents in the ensemble not only provide much longer results than the final solution but also include multiple scrambles that were unsolved. In the case of using the s...
BIBLIOTHEQUE/03_COMP-REAS/A Machine Learning Approach That Beats Large Rubik's Cubes/A Machine Learning Approach That Beats Large Rubik's Cubes.md	349	- [56] J. Hale, C. Dyer, A. Kuncoro, and J. Brennan, Finding syntax in human encephalography with beam search, Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Pa...
BIBLIOTHEQUE/03_COMP-REAS/ARC-NCA- Towards Developmental Solutions to the Abstraction and Reasoning Corpus/ARC-NCA- Towards Developmental Solutions to the Abstraction and Reasoning Corpus.md	101	From 2D Integer grid to 3D real-valued lattice. NCA mainly operate on 3D lattices of dimensions H,W,C, where H is the height, W is the width, and C is the number of channels, most commonly four channels for $RGB-\alph...
BIBLIOTHEQUE/03_COMP-REAS/ARC-NCA- Towards Developmental Solutions to the Abstraction and Reasoning Corpus/ARC-NCA- Towards Developmental Solutions to the Abstraction and Reasoning Corpus.md	248	In this section, we highlight one solved problem per CA type to show the developmental steps the CA models take to solve ARC problems. More video examples can be found here.
BIBLIOTHEQUE/03_COMP-REAS/Beyond A-- Planning with Transformers/Beyond A-- Planning with Transformers.md	15	Transformer-based architectures (Vaswani et al., 2017) have demonstrated impressive performance in different tasks, including holding conversations at the human level (Shuster et al., 2022; OpenAI, 2022, 2023; Touvron...
BIBLIOTHEQUE/03_COMP-REAS/Deep Equilibrium Models/Deep Equilibrium Models.md	150	where $W_{QKV} \in \mathbb{R}^{d \times 3d}$ produces the Q, K, V for the multi-head self-attention, and LN stands for layer normalization [5]. Note that we add input injection $\tilde{\mathbf{x}}_{1:T}$ to Q, K, V in...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	15	Vision-centric autonomous driving has recently raised wide attention due to its lower cost. Pre-training is essential for extracting a universal representation. However, current vision-centric pre-training typically r...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	23	Figure 1. Comparison on different pre-training methods for vision-centric autonomous driving. (a) Monocular 2D pre-training with 2D pre-text tasks (*e.g.*, 2D classification and depth estimation). (b) Multi-camera 3D ...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	31	increasing attention because of its lower cost [31, 33, 43, 44, 51, 77, 95]. However, as shown in Fig. 1, the existing vision-centric pre-training algorithms still predominantly rely on 2D pre-text tasks [24, 60] or 3...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	33	We aim to employ world models to address 4D representation for vision-centric autonomous driving pre-training. World models excel in representing an agent's spatiotemporal knowledge about its environment. [19, 39]. In...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	37	To validate the performance of our proposed 4D pre-training approach, we conducted pre-training on the nuScenes [5] training set and the recently released large-scale 3D occupancy datasets, OpenScene [11], followed by...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	47	Based on input modalities, autonomous driving pre-training algorithms can be primarily categorized: pre-training on large-scale LiDAR point clouds [14, 91, 92] and pretraining on images [7, 40, 47]. Pre-training algor...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	51	Figure 2. Overall framework of the proposed DriveWorld. Since autonomous driving heavily relies on the understanding of 4D scenes, our approach first involves the transformation of multi-camera images into a 4D space....
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	55	In the domain of autonomous driving, there has been significant research focus on spatio-temporal modeling. BEVFormer [44] employs spatio-temporal transformers to learn BEV representations from multi-camera images. BE...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	61	learning [22, 59, 66], and autonomous driving [3, 16, 28, 93]. In reinforcement learning, Ha and Schmidhuber [19] proposed that the world model can be trained quickly in an unsupervised manner to learn a compressed sp...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	65	Consider a sequence of observed T video frames denoted as $o_{1:T}$ , captured by multi-view cameras, along with their corresponding expert actions, $a_{1:T}$ and 3D occupancy labels $y_{1:T}$ which can be acquired wi...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	100	#### 3.2. 3D Occupancy Prediction
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	102	Aiming at a comprehensive understanding of surrounding scenes in autonomous driving, we model the physical world into the 3D occupancy structure, utilizing the geometric form of occupancy to depict the surrounding env...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	104	Reconstructing 3D occupancy as the pre-text task has been demonstrated to be effective by pre-training algorithms like OccNet [69] and UniScene [57]. In comparison to OccNet and UniScene, we further extend to 4D occup...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	108	While the designed pre-text task through the world model enables the learning of spatio-temporal representations, different downstream tasks focus on distinct information [48, 72]. For instance, the 3D object detectio...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	110	To mitigate this problem, inspired by Semantic Prompt for few-shot image recognition [9] and Visual Exemplar driven Prompts for multi-task learning [48], we introduce the concept of "Task Prompt", providing specific c...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	114	The pre-training objectives of DriveWorld involve minimizing the divergence between post and prior state distributions (i.e. Kullback-Leibler (KL) divergence) and minimizing the loss related to past and future 3D occu...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	131	**Dataset.** We pre-train on the autonomous driving dataset nuScenes [5] and the largest-scale 3D occupancy dataset OpenScene [11], and fine-tune on nuScenes. Evaluation settings are the same as UniAD [31]. For detail...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	133	**Pre-training.** In alignment with BEVFormer [44] and UniAD [31], we employ ResNet101-DCN [24] as the foundational backbone. For 3D occupancy prediction, we establish a voxel size of $16 \times 200 \times 200$ . The ...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	135	**Fine-tuning.** In the fine-tuning stage, we retain the pretrained encoder that generates BEV features and fine-tune downstream tasks. For the 3D detection task, we employed the BEVFormer [44] framework, fine-tuning ...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	141	Component Analysis. We first validate the effectiveness of the proposed Memory State-Space Model (MSSM) module. As shown in Tab. 1, pre-training with the Recurrent State-Space Model (RSSM) [97] results in significantl...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	177	Table 3. Quantitative 3D object detection performance. \*: we retrain BEVFormer [44] with 2D ImageNet pre-training [24].
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	192	3D detection and online mapping but improves in tracking. In motion prediction tasks, a wide perceptual field is likely necessary for the model to perform effectively. However, in detection tasks, precise localization...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	194	**Dataset Scale.** We also investigate the influence of pretraining and fine-tuning data volumes. Tab. 2 illustrates that augmenting the volume of data used in pre-training leads to improved performance in downstream ...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	198	In this section, we validate the effectiveness of our proposed 4D pre-training approach based on the world model across various autonomous driving tasks. In addition to comparing it with state-of-the-art autonomous dr...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	200	**3D Object Detection.** We first evaluate the performance of the multi-camera 3D object detection task. The results presented in Tab. 3 show that our 4D pre-training approach based on the world model, as opposed to B...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	202	**Online Mapping.** We validate the performance on the online mapping task. As shown in Tab. 4, compared to UniAD, pre-training with 3D occupancy in OccNet and UniScene
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	267	Motion Forecasting. In the motion prediction task, as demonstrated in Tab. 6, the improvement obtained from 3D pre-training (e.g., OccNet, UniScene, and BEVDistill) is notably limited. In contrast, our 4D pre-training...
