BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	3	# DriveWorld: 4D Pre-trained Scene Understanding via World Models for Autonomous Driving
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	15	Vision-centric autonomous driving has recently raised wide attention due to its lower cost. Pre-training is essential for extracting a universal representation. However, current vision-centric pre-training typically r...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	19	Autonomous driving is a complex undertaking that relies on comprehensive 4D scene understanding [1, 75]. This
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	23	Figure 1. Comparison on different pre-training methods for vision-centric autonomous driving. (a) Monocular 2D pre-training with 2D pre-text tasks (*e.g.*, 2D classification and depth estimation). (b) Multi-camera 3D ...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	31	increasing attention because of its lower cost [31, 33, 43, 44, 51, 77, 95]. However, as shown in Fig. 1, the existing vision-centric pre-training algorithms still predominantly rely on 2D pre-text tasks [24, 60] or 3...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	33	We aim to employ world models to address 4D representation for vision-centric autonomous driving pre-training. World models excel in representing an agent's spatiotemporal knowledge about its environment. [19, 39]. In...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	35	Driving inherently entails grappling with uncer-There are two types of uncertainty in tainty [26]. ambiguous autonomous driving scenarios: aleatoric uncertainty, stemming from the stochastic nature of the world, and e...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	37	To validate the performance of our proposed 4D pre-training approach, we conducted pre-training on the nuScenes [5] training set and the recently released large-scale 3D occupancy datasets, OpenScene [11], followed by...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	39	- We present the first 4D pre-training method based on world models for real-world vision-centric autonomous driving, which learns a compact spatio-temporal representation from multi-camera driving videos.
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	47	Based on input modalities, autonomous driving pre-training algorithms can be primarily categorized: pre-training on large-scale LiDAR point clouds [14, 91, 92] and pretraining on images [7, 40, 47]. Pre-training algor...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	51	Figure 2. Overall framework of the proposed DriveWorld. Since autonomous driving heavily relies on the understanding of 4D scenes, our approach first involves the transformation of multi-camera images into a 4D space....
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	55	In the domain of autonomous driving, there has been significant research focus on spatio-temporal modeling. BEVFormer [44] employs spatio-temporal transformers to learn BEV representations from multi-camera images. BE...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	69	As autonomous vehicle moves, it sequentially conveys two types of information within its observations: the temporal-aware information linked to alterations in the scene due to object mobility, and the spatial-aware in...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	104	Reconstructing 3D occupancy as the pre-text task has been demonstrated to be effective by pre-training algorithms like OccNet [69] and UniScene [57]. In comparison to OccNet and UniScene, we further extend to 4D occup...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	194	**Dataset Scale.** We also investigate the influence of pretraining and fine-tuning data volumes. Tab. 2 illustrates that augmenting the volume of data used in pre-training leads to improved performance in downstream ...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	198	In this section, we validate the effectiveness of our proposed 4D pre-training approach based on the world model across various autonomous driving tasks. In addition to comparing it with state-of-the-art autonomous dr...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	200	**3D Object Detection.** We first evaluate the performance of the multi-camera 3D object detection task. The results presented in Tab. 3 show that our 4D pre-training approach based on the world model, as opposed to B...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	257	results in an improvement of about 1% in IoU, and the knowledge distillation algorithm BEVDistill also enhances performance by 1%. After our 4D pre-training on nuScenes, there is a 2% improvement and a 3% improvement ...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	265	leveraging DriveWorld's 4D pre-training results in a notable enhancement of 2.6% in terms of AMOTA. Impressively, after pre-training on OpenScene, this performance boost becomes even more significant, reaching a subst...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	267	Motion Forecasting. In the motion prediction task, as demonstrated in Tab. 6, the improvement obtained from 3D pre-training (e.g., OccNet, UniScene, and BEVDistill) is notably limited. In contrast, our 4D pre-training...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	269	Occupancy Prediction. The UniAD's occupancy prediction task is carried out in the 2D BEV view. As shown in Tab. 7, after undergoing 4D occupancy pre-training on OpenScene, our model exhibits impressive enhancements: a...
BIBLIOTHEQUE/03_COMP-REAS/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving/DriveWorld- 4D Pre-trained Scene Understanding via World Models for Autonomous Driving.md	271	**Planning.** We finally validate the effectiveness of the proposed 4D pre-training algorithm on the planning task. As
