task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Next-token prediction (language modeling),tokens,1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,next token,0D (inferred),Not specified in the paper.
Palindrome classification,sequence (string),1D (t) (inferred),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,palindrome label,0D (inferred),Not specified in the paper.
Sparse parity classification,binary strings,1D (t) (inferred),Fixed (inferred),Not specified in the paper.,Not specified in the paper.,parity label (sum modulo 2),0D (inferred),Fixed (inferred)
Multitask sparse parity classification,binary strings with control bits + task bits,1D (t) (inferred),Fixed (inferred),Not specified in the paper.,Not specified in the paper.,parity label for selected subtask,0D (inferred),Fixed (inferred)
Mod. arithmetic,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
IPA transliterate,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Word unscramble,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Persian QA,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
TruthfulQA,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Grounded mappings,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Multi-task NLU,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Word in context,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
3-Digit addition,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Language understanding,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Program synthesis,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Massive Multitask Language Understanding,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Logical arguments,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Sports understanding,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
