task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Object classification","images interleaved with text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","label/choice (finite set)","0D (inferred)","Fixed (inferred)"
"Scene description","images interleaved with text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","free-form text description","1D (t) (inferred)","Capped (inferred)"
"Scene understanding QA","images interleaved with text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer","1D (t) (inferred)","Capped (inferred)"
"External knowledge QA","images interleaved with text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer","1D (t) (inferred)","Capped (inferred)"
"Text reading QA","images interleaved with text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer","1D (t) (inferred)","Capped (inferred)"
"Visual Dialogue","images interleaved with text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text response","1D (t) (inferred)","Capped (inferred)"
"Meme classification","images interleaved with text","2D (x, y); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","label/choice (finite set)","0D (inferred)","Fixed (inferred)"
"Action classification","videos interleaved with text","3D (x, y, t); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","label/choice (finite set)","0D (inferred)","Fixed (inferred)"
"Event description","videos interleaved with text","3D (x, y, t); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","free-form text description","1D (t) (inferred)","Capped (inferred)"
"Event understanding QA","videos interleaved with text","3D (x, y, t); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer","1D (t) (inferred)","Capped (inferred)"
"Composite action retrieval","videos interleaved with text","3D (x, y, t); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","label/choice (finite set)","0D (inferred)","Fixed (inferred)"
"Temporal/Causal QA","videos interleaved with text","3D (x, y, t); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","text answer","1D (t) (inferred)","Capped (inferred)"
"Multiple-choice QA","videos interleaved with text","3D (x, y, t); 1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","label/choice (finite set)","0D (inferred)","Fixed (inferred)"
