year,title,url
2018,Search-based Program Synthesis,https://www.cis.upenn.edu/~alur/CACM18.pdf
2024,Searching Latent Program Spaces,https://arcprize.org/competitions/2024/
2024,SegPoint: Segment Any Point Cloud via Large Language,MISSING
2023,Segment Anything (SAM),https://openaccess.thecvf.com/content/ICCV2023/papers/Kirillov_Segment_Anything_ICCV_2023_paper.pdf
2022,Self-Consistency for Chain-of-Thought,MISSING
2025,Self-Improving Language Models for Evolutionary Program Synthesis: A Case Study on ARC-AGI (SOAR),https://openreview.net/pdf?id=z4IG090qt2
2025,Self-Improving Language Models for Evolutionary Program Synthesis: A Case Study on ARC-AGI (SOAR),https://arcprize.org/blog/arc-prize-2025-results-analysis
1992,Separate visual pathways for perception and action,https://pubmed.ncbi.nlm.nih.gov/1374953/
2018,Set Transformer: A Framework for Attention-based Permutation-Invariant Neural Networks,MISSING
2020,Sharpness-Aware Minimization (SAM),MISSING
1992,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE),https://link.springer.com/article/10.1007/BF00992696
2024,Simultaneous Instance Pooling & Bag Selection for MIL using ViTs,"https://doi.org/10.1007/s00521-024-09417-3 ""MIL with ViTs (2024) — Springer"""
