year,title,url
2024,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,"https://proceedings.neurips.cc/paper_files/paper/2024/file/9446c291a8744a125a0bda5b18f4d5a1-Paper-Conference.pdf ""Mesa-Extrapolation (2024) — NeurIPS Proceedings"""
1847,Methode generale pour la resolution des systemes d'equations simultanees,https://ems.press/content/book-chapter-files/27368?nt=1
2005,Microstructure of a spatial map in the entorhinal cortex,https://www.nature.com/articles/nature03721
2025,MindsAI,https://arcprize.org/competitions/2025/
2024,Mini-ARC: Solving Abstraction and Reasoning Puzzles with Small Transformer Models,https://www.paulfletcherhill.com/mini-arc.pdf
2024,Mini-ARC: Solving Abstraction and Reasoning Puzzles with Small Transformer Models,https://arcprize.org/competitions/2024/
2021,Muesli: Combining Improvements in Policy Optimization,https://proceedings.mlr.press/v139/hessel21a/hessel21a.pdf
2019,NLVR2: A Corpus for Reasoning about Natural Language Grounded in Photographs,https://lil.nlp.cornell.edu/nlvr/
2025,NVARC,https://arcprize.org/competitions/2025/
2025,NVARC solution to ARC-AGI-2 2025,https://arcprize.org/blog/arc-prize-2025-results-analysis
2008,Natural Actor-Critic,https://www.sciencedirect.com/science/article/pii/S0925231208000532
2025,Nested Learning: The Illusion of Deep Learning Architecture,"# ""Nested Learning (2025) — Local Copy (no public PDF link provided)"""
2005,Neural Fitted Q Iteration (NFQ),https://link.springer.com/chapter/10.1007/11564096_32
2016,Neural Module Networks (NMN),https://openaccess.thecvf.com/content_cvpr_2016/html/Andreas_Neural_Module_Networks_CVPR_2016_paper.html
2017,Neural Program Meta-Induction,https://papers.nips.cc/paper/6803-neural-program-meta-induction
2015,Neural Programmer-Interpreters (NPI),MISSING
