year,title,url
2022,ChartQA: A Benchmark for Question Answering about Charts with Visual and Logical Reasoning,https://arxiv.org/pdf/2203.10244.pdf
2025,ChartQAPro: A More Diverse and Challenging Benchmark for Real-World Chart QA,https://arxiv.org/html/2504.05506v1
2024,Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference,https://arxiv.org/pdf/2403.04132.pdf
2025,Circle-RoPE: Cone-like Decoupled Rotary Positional Embedding for Large Vision-Language Models,"https://arxiv.org/pdf/2505.16416.pdf ""Circle-RoPE (2025) — arXiv"".pdf"
2021,CoAtNet: Marrying Convolution and Attention,https://proceedings.neurips.cc/paper/2021/hash/20568692db622456cc42a2e853ca21f8-Abstract.html
2021,CoAtNet: Marrying Convolution and Attention for All Data Sizes,"https://arxiv.org/pdf/2106.04803.pdf ""CoAtNet (2021) — arXiv"".pdf"
2021,CoAtNet: Marrying Convolution and Attention for All Data Sizes,"https://arxiv.org/pdf/2106.04803.pdf ""CoAtNet (2021) — arXiv"".pdf"
2022,CoCa: Contrastive Captioners,"https://arxiv.org/pdf/2205.01917.pdf ""CoCa (2022) — arXiv"".pdf"
2025,CoPE: A Lightweight Complex Positional Encoding,https://arxiv.org/pdf/2508.18308.pdf
1948,Cognitive Maps in Rats and Men,https://pubmed.ncbi.nlm.nih.gov/18870876/
2025,ComRoPE: Scalable and Robust Rotary Position Embedding Parameterized by Trainable Commuting Angle Matrices,https://arxiv.org/pdf/2506.03737.pdf
2025,ComRoPE: Scalable and Robust Rotary Position Embedding Parameterized by Trainable Commuting Angle Matrices,"https://arxiv.org/pdf/2506.03737.pdf ""ComRoPE (2025) — arXiv"".pdf"
2017,Combining Improvements in Deep Reinforcement Learning (Rainbow),https://arxiv.org/pdf/1710.02298.pdf
2024,Combining Induction and Transduction for Abstract Reasoning,https://arxiv.org/pdf/2411.02272.pdf
2024,Combining Induction and Transduction for Abstract Reasoning,https://arcprize.org/competitions/2024/
2024,Combining Induction and Transduction for Abstract Reasoning,"https://arxiv.org/pdf/2411.02272.pdf ""Combining Induction and Transduction (2024) — arXiv"".pdf"
2019,CommonsenseQA: A Question Answering Challenge Targeting Commonsense Knowledge,https://aclanthology.org/N19-1421/
2010,Component-based Synthesis Applied to Bitvector Programs,https://www.microsoft.com/en-us/research/wp-content/uploads/2010/02/bv.pdf
2021,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,"https://arxiv.org/pdf/2103.10697.pdf ""ConViT (2021) — arXiv"".pdf"
2023,ConceptARC,"https://arxiv.org/pdf/2305.07141.pdf ""ConceptARC (2023) — arXiv"".pdf"
2018,"Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset","https://arxiv.org/pdf/1803.10137.pdf ""Conceptual Captions (2018) — arXiv"".pdf"
2022,Constitutional AI,MISSING
2017,Constructing Datasets for Multi-hop Reading Comprehension (WikiHop / MedHop; QAngaroo),https://arxiv.org/pdf/1710.06481.pdf
2025,Context-aware Biases for Length Extrapolation (CABLE),https://aclanthology.org/2025.emnlp-main.1545.pdf
2025,Context-aware Rotary Position Embedding (CARoPE),"https://arxiv.org/pdf/2507.23083.pdf ""CARoPE (2025) — arXiv"".pdf"
2015,Continuous Control with Deep Reinforcement Learning (DDPG),https://arxiv.org/pdf/1509.02971.pdf
2017,Convolutional Sequence to Sequence Learning,https://arxiv.org/pdf/1705.03122.pdf
2007,Core Knowledge,"https://www.harvardlds.org/wp-content/uploads/2017/01/SpelkeKinzler07-1.pdf ""Core Knowledge (2007) — Harvard LDS"""
2021,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,"https://arxiv.org/pdf/2103.14899.pdf ""CrossViT (2021) — arXiv"".pdf"
2021,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,"https://arxiv.org/pdf/2103.14899.pdf ""CrossViT (2021) — arXiv"".pdf"
