year,title,url
2022,BEiT: BERT Pre-Training of Image Transformers,https://arxiv.org/pdf/2106.08254.pdf
2021,BEiT: BERT Pre-Training of Image Transformers,"https://arxiv.org/pdf/2106.08254.pdf ""BEiT (2021) — arXiv"""
2021,BEiT: BERT Pre-Training of Image Transformers,"https://arxiv.org/pdf/2106.08254.pdf ""BEiT (2021) — arXiv"""
2025,BIG-Bench Extra Hard (BBEH),https://aclanthology.org/2025.acl-long.1285/
2022,BIG-Bench Hard (BBH): Challenging BIG-Bench Tasks and Whether Chain-of-Thought Can Solve Them,https://arxiv.org/pdf/2210.09261.pdf
2023,BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Models,"https://arxiv.org/pdf/2301.12597.pdf ""BLIP-2 (2023) — arXiv"""
2022,BLIP: Bootstrapping Language-Image Pre-training,"https://arxiv.org/pdf/2201.12086.pdf ""BLIP (2022) — arXiv"""
2025,BWFormer: Building Wireframe Reconstruction from Airborne LiDAR Point Cloud with Transformer,https://cvpr.thecvf.com/virtual/2025/poster/32868
2024,Base of RoPE Bounds Context Length,"https://arxiv.org/pdf/2405.14591.pdf ""Base of RoPE Bounds Context Length (2024) — arXiv"""
2015,Batch Normalization,https://arxiv.org/pdf/1502.03167.pdf
2024,Beyond A*: Planning with Transformers,"https://arxiv.org/pdf/2402.14083.pdf ""Beyond A*: Planning with Transformers (2024) — arXiv"""
2025,Beyond Brute Force: A Neuro-Symbolic Architecture for Compositional Reasoning in ARC-AGI-2,https://arcprize.org/blog/arc-prize-2025-results-analysis
2024,Beyond Position: The Emergence of Wavelet-like Properties in Transformers,"https://arxiv.org/pdf/2410.18067.pdf ""Wavelet-like Properties in Transformers (2024) — arXiv"""
2022,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models (BIG-bench),https://arxiv.org/pdf/2206.04615.pdf
2016,BlinkFill: Semi-supervised Programming By Example for Syntactic String Transformations,https://www.vldb.org/pvldb/vol9/p816-singh.pdf
2016,BlinkFill: Semi-supervised Programming By Example for Syntactic String Transformations,https://www.vldb.org/pvldb/vol9/p816-singh.pdf
2025,Boosting Performance on ARC via Perspective / Augmentations,https://proceedings.mlr.press/v267/franzen25a.html
1972,Broadcast Channels,https://isl.stanford.edu/~cover/papers/transIT/0002cove.pdf
2025,CABLE: Context-aware Biases for Length Extrapolation,https://aclanthology.org/2025.emnlp-main.1545.pdf
2019,CAIL2019-SCM: A Dataset of Similar Case Matching in Legal Domain,https://arxiv.org/pdf/1911.08962
2017,CLEVR: A Diagnostic Dataset for Compositional Language and Elementary Visual Reasoning,https://openaccess.thecvf.com/content_cvpr_2017/papers/Johnson_CLEVR_A_Diagnostic_CVPR_2017_paper.pdf
2019,CLUTRR: A Diagnostic Benchmark for Inductive Reasoning from Text,https://aclanthology.org/D19-1458.pdf
2021,CSWin Transformer: A General Vision Transformer Backbone with Cross-Shaped Windows,"https://arxiv.org/pdf/2107.00652.pdf ""CSWin Transformer (2021) — arXiv"""
2021,CSWin Transformer: A General Vision Transformer Backbone with Cross-Shaped Windows,"https://arxiv.org/pdf/2107.00652.pdf ""CSWin Transformer (2021) — arXiv"""
2025,CamPoint: Boosting Point Cloud Segmentation with Virtual Camera,https://cvpr.thecvf.com/virtual/2025/poster/34611
1935,Can Quantum-Mechanical Description of Physical Reality Be Considered Complete?,https://link.aps.org/doi/10.1103/PhysRev.47.777
2012,Canonical Microcircuits for Predictive Coding,"https://pubmed.ncbi.nlm.nih.gov/23238495/ ""Canonical Microcircuits for Predictive Coding (2012) — PubMed"""
1990,Cellular and circuit basis of working memory in prefrontal cortex of nonhuman primates,https://pubmed.ncbi.nlm.nih.gov/2094903/
1995,Cellular basis of working memory,https://pubmed.ncbi.nlm.nih.gov/7695894/
1924,Certain Factors Affecting Telegraph Speed,https://monoskop.org/images/9/9f/Nyquist_Harry_1924_Certain_Factors_Affecting_Telegraph_Speed.pdf
