year,title,url
2020,2WikiMultiHopQA: Comprehensive Evaluation of Reasoning Steps,https://aclanthology.org/2020.coling-main.580/
2021,3DETR: An End-to-End Transformer Model for 3D Object Detection,https://arxiv.org/abs/2109.08141
2023,4D-Former: Multimodal 4D Panoptic Segmentation,https://proceedings.mlr.press/v229/athar23a/athar23a.pdf
2023,4D-Former: Multimodal 4D Panoptic Segmentation,https://arxiv.org/abs/2311.01520
2024,A 2D nGPT Model For ARC Prize,https://arcprize.org/competitions/2024/
2024,A 2D nGPT Model for ARC Prize,https://arxiv.org/html/2412.04604v2
2025,A Benchmark to Evaluate Fundamental Numerical Abilities,https://arxiv.org/pdf/2502.11075
2017,A Distributional Perspective on Reinforcement Learning,https://arxiv.org/abs/1707.06887
2017,A Distributional Perspective on Reinforcement Learning,https://arxiv.org/abs/1707.06887
2006,A Fast Learning Algorithm for Deep Belief Nets,MISSING
1980,A Feature-Integration Theory of Attention,https://pubmed.ncbi.nlm.nih.gov/7351125/
2019,A Framework for Intelligence and Cortical Function Based on Grid Cells in the Neocortex,https://www.frontiersin.org/journals/neural-circuits/articles/10.3389/fncir.2018.00121/full
1999,A Framework for Temporal Abstraction in Reinforcement Learning,https://www.sciencedirect.com/science/article/pii/S0004370299000521
2025,A Fully First-Order Layer for Differentiable Optimization,https://arxiv.org/pdf/2512.02494
2023,A Length-Extrapolatable Transformer,https://aclanthology.org/2023.acl-long.816.pdf
2023,A Length-Extrapolatable Transformer (XPOS / LeX),"https://aclanthology.org/2023.acl-long.816.pdf ""XPOS / LeX (2023) — ACL Anthology"""
1957,A Markovian Decision Process,https://www.jstor.org/stable/24900506
1948,A Mathematical Theory of Communication,https://ia803209.us.archive.org/27/items/bstj27-3-379/bstj27-3-379_text.pdf
1948,A Mathematical Theory of Communication,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf
2001,A Natural Policy Gradient,https://papers.neurips.cc/paper/2073-a-natural-policy-gradient.pdf
2003,A Neural Probabilistic Language Model,https://www.jmlr.org/papers/volume3/bengio03a/bengio03a.pdf
2021,A Neurosymbolic Approach to Abstraction and Reasoning,https://dspace.mit.edu/bitstream/handle/1721.1/139305/Alford-salford-meng-eecs-2021-thesis.pdf
1960,A New Approach to Linear Filtering and Prediction Problems,https://asmedigitalcollection.asme.org/fluidsengineering/article/82/1/35/397706/A-New-Approach-to-Linear-Filtering-and-Prediction
2021,A Simple and Effective Positional Encoding for Transformers,https://aclanthology.org/2021.emnlp-main.236.pdf
2024,A Survey on Evaluation of Large Language Models,https://dl.acm.org/doi/full/10.1145/3641289
1984,A Theory of the Learnable (PAC Learning),https://en.wikipedia.org/wiki/Probably_approximately_correct_learning
2006,A free energy principle for the brain,https://pubmed.ncbi.nlm.nih.gov/17097864/
2022,A-OKVQA: A Benchmark for VQA Using World Knowledge,https://arxiv.org/abs/2206.01718
2023,AGIEval: A Human-Centric Benchmark for Evaluating Foundation Models,https://arxiv.org/pdf/2304.06364
2020,AI Feynman,https://www.science.org/doi/10.1126/sciadv.aay2631
