task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
matching (image-text pairing),images; text snippets,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,paired/not paired or correct pairing,0D (inferred),Not specified in the paper.
retrieval (image-text),text queries or images,"1D (t); 2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,retrieved images or texts,"2D (x, y); 1D (t) (inferred)",Not specified in the paper.
classification (image objects),images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,object class labels (including fine-grained),0D (inferred),Not specified in the paper.
recognition (OCR),images of text,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,characters/words,1D (t) (inferred),Not specified in the paper.
classification (OCR-based semantics),images of rendered text,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,semantic task labels,0D (inferred),Not specified in the paper.
recognition (actions in videos),videos,"3D (x, y, t) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,action labels,0D (inferred),Not specified in the paper.
classification (geo-localization/scene),images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,location/scene labels,0D (inferred),Not specified in the paper.
prediction (geo-coordinates),images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,GPS coordinates,"2D (x, y) (inferred)",Not specified in the paper.
recognition (facial emotion),face images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,emotion labels,0D (inferred),Not specified in the paper.
classification (face attributes),face images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,race/gender/age labels,0D (inferred),Not specified in the paper.
classification (satellite imagery),satellite images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,class labels,0D (inferred),Not specified in the paper.
detection (lymph node tumors),medical images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,tumor present/absent label,0D (inferred),Not specified in the paper.
counting (objects),synthetic scene images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,object count,0D (inferred),Not specified in the paper.
classification (traffic signs),traffic sign images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,traffic sign class labels,0D (inferred),Not specified in the paper.
prediction (distance to nearest car),driving images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,distance to nearest car,0D (inferred),Not specified in the paper.
classification (surveillance scenes),CCTV images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,scene/subject labels,0D (inferred),Not specified in the paper.
detection (surveillance presence/absence),CCTV images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,presence/absence labels for small objects,0D (inferred),Not specified in the paper.
recognition (celebrity identity),face images,"2D (x, y) (inferred)",Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,identity labels,0D (inferred),Not specified in the paper.
