1962,"Receptive Fields, Binocular Interaction, and Functional Architecture in the Cat's Visual Cortex",https://www.gatsby.ucl.ac.uk/~lmatthey/teaching/tn1/additional/systems/JPhysiol-1962-Hubel-106-54.pdf
1976,"Adaptive pattern classification and universal recoding: II. Feedback, expectation, olfaction, illusions (Grossberg76)",https://sci-hub.ru/10.1007/bf00340335
1991,"Dyna, an Integrated Architecture for Learning, Planning, and Reacting",https://sci-hub.ru/10.1145/122344.122377
1992,"TD-Gammon, a Self-Teaching Backgammon Program, Achieves Master-Level Play",https://cdn.aaai.org/Symposia/Fall/1993/FS-93-02/FS93-02-003.pdf
1998,"Feedforward, horizontal, and feedback processing in the visual cortex",https://www.sci-hub.ru/10.1016/s0959-4388(98)80042-1
2001,"Using a recurrent network to bind form, color and position into a unified percept",https://www.sci-hub.ru/10.1016/s0925-2312(01)00395-2
2012,"Working Memory: Theories, Models, and Controversies",https://sci-hub.ru/10.1146/annurev-psych-120710-100422
2018,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering",https://aclanthology.org/D18-1259.pdf
2018,"The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks (LTH)",https://arxiv.org/pdf/1803.03635.pdf
2020,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model (MuZero)",https://www.nature.com/articles/s41586-020-03051-4.pdf
2021,"ProofWriter: Generating Implications, Proofs, and Abductive Statements over Natural Language",https://aclanthology.org/2021.findings-acl.317.pdf
2023,"One-Step Diffusion Distillation via Deep Equilibrium Models (Generative Equilibrium Transformer, GET)",https://papers.neurips.cc/paper_files/paper/2023/file/82f05a105c928c10706213952bf0c8b7-Paper-Conference.pdf
2024,"Point Transformer V3: Simpler, Faster, Stronger",https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_Point_Transformer_V3_Simpler_Faster_Stronger_CVPR_2024_paper.pdf
2025,"Autoregressive Modeling as Iterative Latent Equilibrium (Equilibrium Transformers, EqT)",https://arxiv.org/pdf/2511.21882.pdf
