year,title,url,duplicate_count
2014,Neural Turing Machines,https://arxiv.org/pdf/1410.5401.pdf,1
2014,Neural Turing Machines (NTM),https://arxiv.org/pdf/1410.5401.pdf,2
2016,Adaptive Computation Time,https://arxiv.org/pdf/1603.08983.pdf,1
2016,Adaptive Computation Time (ACT),https://arxiv.org/pdf/1603.08983.pdf,2
2017,Combining Improvements in Deep Reinforcement Learning (Rainbow),https://arxiv.org/pdf/1710.02298.pdf,1
2018,Rainbow: Combining Improvements in Deep Reinforcement Learning,https://arxiv.org/pdf/1710.02298.pdf,1
2018,Universal Transformers,https://arxiv.org/pdf/1807.03819.pdf,1
2018,Universal Transformers (UT),https://arxiv.org/pdf/1807.03819.pdf,1
2019,SATNet: Bridging Deep Learning and Logical Reasoning Using a Differentiable Satisfiability Solver,https://arxiv.org/pdf/1905.12149.pdf,1
2019,SATNet: Differentiable Satisfiability Solver,https://arxiv.org/pdf/1905.12149.pdf,1
2019,Deep Equilibrium Models,https://arxiv.org/pdf/1909.01377.pdf,1
2019,Deep Equilibrium Models (DEQ),https://arxiv.org/pdf/1909.01377.pdf,2
2019,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://arxiv.org/pdf/1910.10683.pdf,1
2019,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer (T5),https://arxiv.org/pdf/1910.10683.pdf,2
2019,Differentiable Convex Optimization Layers,https://arxiv.org/pdf/1910.12430.pdf,1
2019,Differentiable Convex Optimization Layers (CVXPYLayers / DPP),https://arxiv.org/pdf/1910.12430.pdf,1
2019,On the Measure of Intelligence,https://arxiv.org/pdf/1911.01547.pdf,2
2019,On the Measure of Intelligence (ARC),https://arxiv.org/pdf/1911.01547.pdf,1
2020,End-to-End Object Detection with Transformers (DETR),https://arxiv.org/pdf/2005.12872.pdf,3
2020,Generative Pretraining from Pixels (iGPT),https://arxiv.org/pdf/2005.12872.pdf,1
2021,Deformable DETR,https://arxiv.org/pdf/2010.04159.pdf,1
2020,Deformable DETR: Deformable Transformers for End-to-End Object Detection,https://arxiv.org/pdf/2010.04159.pdf,2
2020,An Image Is Worth 16x16 Words (ViT),https://arxiv.org/pdf/2010.11929.pdf,2
2020,An Image is Worth 16×16 Words: Vision Transformer (ViT),https://arxiv.org/pdf/2010.11929.pdf,1
2020,Taming Transformers for High-Resolution Image Synthesis,https://arxiv.org/pdf/2012.09841.pdf,2
2021,Taming Transformers for High-Resolution Image Synthesis (VQGAN + Transformer),https://arxiv.org/pdf/2012.09841.pdf,1
2021,SETR: Rethinking Semantic Segmentation as Seq2Seq with Transformers,https://arxiv.org/pdf/2012.15840.pdf,1
2020,SETR: Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers,https://arxiv.org/pdf/2012.15840.pdf,1
2021,Is Space-Time Attention All You Need for Video Understanding? (TimeSformer),https://arxiv.org/pdf/2102.05095.pdf,1
2021,TimeSformer: Is Space-Time Attention All You Need for Video Understanding?,https://arxiv.org/pdf/2102.05095.pdf,1
2021,Zero-Shot Text-to-Image Generation,https://arxiv.org/pdf/2102.12092.pdf,2
2021,Zero-Shot Text-to-Image Generation (DALL-E),https://arxiv.org/pdf/2102.12092.pdf,1
