task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
Model selection / hypothesis selection,data set D / data sequence x^n,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,selected model or hypothesis,Not specified in the paper.,Not specified in the paper.
Data compression / coding,data sequence D,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,compressed description / code for D,Not specified in the paper.,Not specified in the paper.
Prediction (sequential/probabilistic),observed data sequence (past outcomes),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,predictions of future data / predictive distribution,Not specified in the paper.,Not specified in the paper.
Density estimation (non-parametric inference),samples x^n,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,estimated density f (distribution),Not specified in the paper.,Not specified in the paper.
Parameter estimation,data set x^n under model M^(k),Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,parameter estimate theta,Not specified in the paper.,Not specified in the paper.
Regression,regressor values x_1..x_n and responses y_1..y_n,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,predictor function h: X->Y,Not specified in the paper.,Not specified in the paper.
Classification,features X,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,label or class,Not specified in the paper.,Not specified in the paper.
Transduction,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Clustering,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
Similarity detection,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.,Not specified in the paper.
