task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"Instruction-following text generation","Natural-language prompts/instructions","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Generated natural-language completions","1D (t) (inferred)","Capped (inferred)"
"Open-domain question answering","Natural-language questions/prompts","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Answer text","1D (t) (inferred)","Capped (inferred)"
"Closed-domain question answering","Question plus provided source text/context","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Grounded answer text","1D (t) (inferred)","Capped (inferred)"
"Brainstorming / ideation","Idea-generation prompt text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","List of ideas in text","1D (t) (inferred)","Capped (inferred)"
"Dialogue / chat response generation","Multi-turn chat history/prompt text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Assistant response text","1D (t) (inferred)","Capped (inferred)"
"Rewrite / transformation","Source text plus rewrite instruction","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Rewritten/transformed text","1D (t) (inferred)","Capped (inferred)"
"Summarization","Long-form text (article/transcript/post)","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Summary text","1D (t) (inferred)","Capped (inferred)"
"Information extraction","Source text/documents","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Extracted items/entities as text","1D (t) (inferred)","Capped (inferred)"
"Classification","Text snippet/prompt","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Label/class choice","0D (inferred)","Fixed (inferred)"
"Machine translation (Fr -> En)","Source-language text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Target-language translated text","1D (t) (inferred)","Capped (inferred)"
"Code understanding (code QA/summarization/description)","Code snippets and/or code-related questions in text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Code explanations/summaries/answers in text","1D (t) (inferred)","Capped (inferred)"
"Preference scoring/ranking (reward modeling)","Prompt and candidate response(s) text","1D (t) (inferred)","Capped (inferred)","Static (inferred)","Direct (inferred)","Scalar reward / preference score","0D (inferred)","Fixed (inferred)"
"Other natural-language tasks","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper.","Not specified in the paper."
