task,input,in_dimension,in_dynamic,attention_dynamic,state_dynamic,output,out_dimension,out_dynamic
"ARC-AGI abstract visual pattern transformation","2D grid demonstrations and test grid","2D (x, y)","Capped (inferred)","Static (inferred)","Direct (inferred)","Predicted output grid","2D (x, y)","Capped (inferred)"
"ConceptARC visual concept reasoning","2D grid demonstrations and test grid","2D (x, y)","Capped (inferred)","Static (inferred)","Direct (inferred)","Predicted output grid","2D (x, y)","Capped (inferred)"
"Hitori solving","5x5 number grid","2D (x, y)","Fixed","Static (inferred)","Direct (inferred)","Solved Hitori grid","2D (x, y)","Fixed"
"Sudoku solving (Mini + standard)","Partially filled Sudoku grid","2D (x, y)","Capped (inferred)","Static (inferred)","Direct (inferred)","Completed Sudoku grid","2D (x, y)","Capped (inferred)"
"Connect 4 winning-move prediction","Connect 4 board configuration","2D (x, y)","Fixed (inferred)","Static (inferred)","Direct (inferred)","Winning move in board-form output (inferred)","2D (x, y)","Fixed (inferred)"
"Chess mate-in-1 prediction","Chess board configuration","2D (x, y)","Fixed (inferred)","Static (inferred)","Direct (inferred)","Checkmating move in board-form output (inferred)","2D (x, y)","Fixed (inferred)"
"Maze path planning","Maze grid with start/goal cells","2D (x, y)","Capped (inferred)","Static (inferred)","Direct (inferred)","Valid path from start to goal","2D (x, y)","Capped (inferred)"
"Shortest Path planning","Grid with arbitrary start/goal cells","2D (x, y)","Capped (inferred)","Static (inferred)","Direct (inferred)","Shortest valid path","2D (x, y)","Capped (inferred)"
"Elementary Cellular Automata state prediction","1D binary cell state with rule","1D (t)","Capped (inferred)","Static (inferred)","Direct (inferred)","Predicted binary cell state after evolution","1D (t)","Capped (inferred)"
"Life-like Cellular Automata state prediction","2D binary cell grid with B/S rule","2D (x, y)","Capped (inferred)","Static (inferred)","Direct (inferred)","Predicted binary grid state after evolution","2D (x, y)","Capped (inferred)"
"Langton's ant state prediction","Binary grid with agent state","2D (x, y)","Capped (inferred)","Static (inferred)","Direct (inferred)","Predicted complete grid state after n steps","2D (x, y)","Capped (inferred)"
"Geometric transformation","Image","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Geometrically transformed image","2D (x, y)","Not specified in the paper."
"Style transfer","Image with one reference style example","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Stylized image","2D (x, y)","Not specified in the paper."
"Inpainting","Masked/occluded image (inferred)","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Completed image (inferred)","2D (x, y)","Not specified in the paper."
"Colorization","Grayscale image (inferred)","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Color image (inferred)","2D (x, y)","Not specified in the paper."
"Jigsaw reconstruction","Shuffled image puzzle (inferred)","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Reconstructed image (inferred)","2D (x, y)","Not specified in the paper."
"Binary segmentation","Image","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Binary segmentation mask (inferred)","2D (x, y)","Not specified in the paper."
"Pose estimation","Image","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Pose estimate representation (inferred)","2D (x, y)","Not specified in the paper."
"Depth estimation","Image","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Depth map (inferred)","2D (x, y)","Not specified in the paper."
"Image-to-segmentation (Chamber)","Image","2D (x, y)","Not specified in the paper.","Static (inferred)","Direct (inferred)","Segmentation map (inferred)","2D (x, y)","Not specified in the paper."
