year,title,url
2022,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,https://openaccess.thecvf.com/content/CVPR2022/papers/Bai_TransFusion_Robust_LiDAR-Camera_Fusion_for_3D_Object_Detection_With_Transformers_CVPR_2022_paper.pdf
2019,Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context,https://aclanthology.org/P19-1285.pdf
2023,Transformer-based 3D point cloud generation networks,https://dl.acm.org/doi/10.1145/3581783.3612226
2024,Transformers Can Do Arithmetic with the Right Embeddings,https://proceedings.neurips.cc/paper_files/paper/2024/file/c35986bc1ee29b31c1011481b77fe540-Paper-Conference.pdf
2024,Transformers Can Do Arithmetic with the Right Embeddings,https://proceedings.neurips.cc/paper_files/paper/2024/hash/c35986bc1ee29b31c1011481b77fe540-Abstract-Conference.html
1949,Translation (Weaver Memorandum),https://www.mt-archive.net/50/Weaver-1949.pdf
1928,Transmission of Information,https://monoskop.org/images/a/a6/Hartley_Ralph_VL_1928_Transmission_of_Information.pdf
2005,Tree-Based Batch Mode Reinforcement Learning,https://www.jmlr.org/papers/volume6/ernst05a/ernst05a.pdf
1982,Two cortical visual systems,https://www.cns.nyu.edu/~tony/vns/readings/ungerleider-mishkin-1982.pdf
2025,Understanding the RoPE Extensions of Long-Context LLMs,https://aclanthology.org/2025.coling-main.600.pdf
1990,Unified Theories of Cognition,https://www.hup.harvard.edu/books/9780674921016
2018,Universal Transformer (UT),MISSING
